CnE8YNEAAAAJ;Witness  Mojeremane;25652621
B8kPm8oAAAAJ;William B. Karesh;10.2307/1590762,27565711,3095339,3061477,2385883,20095281,20095335,27670687,20095676,20096630,20095430,20096121,20094979,20096599,20095684,20095677,20095735,20095334,27751683,20095032,20095056,20095514,20095817
frN6oE4AAAAJ;Peitsa  Mikola;23724276,10.2307/3564889
_mHLvikAAAAJ;Jeanne W. Simon;24708798
wbtuFy4AAAAJ;Adrien C. Finzi;1469336,25652606,40343522,24715186,10.2307/2265502,25470331,40062088,41151213,40309727,40309970,40309751,40213193
LxAbllsAAAAJ;Daniel  Prati;2656649,20172021,25680405,10.2307/2679862,27651643,40309863,20062297,10.2307/3546288,23434822,40235545
BBnraHcAAAAJ;Harald  Auge;25661186,25680405,30244632,20171970,40309863,40212999,23659856,20062297,40309608,3548277,40305558,40005643,40235545
fNa5MXIAAAAJ;Tuula  Larmola;27860800
fEiFR9oAAAAJ;Marja  Tiirola;27860800,40343506
KvDqSn4AAAAJ;Kim  Yrjälä;27860800
E6qNElMAAAAJ;Tero  Tuomivirta;27860800,42952604
-3noXyEAAAAJ;Gunnar  Köhlin;4315098
IygrC_QAAAAJ;Madelene  Ostwald;4315098,24708991
3YWLVDIAAAAJ;Meredith  Thomsen;27975378
pUiGAVQAAAAJ;Makoto  Haritani;10.2307/1593040,1593560
rIljEb0AAAAJ;Gilbert T. Rowe;10.2307/25099603,23486505,24873725,3515669
qx0RpCwAAAAJ;Andrew  Mackintosh;20181841,41240402
ubY0XkUAAAAJ;Loïc A. Hardouin;40295226
Qsk8CFQAAAAJ;Dominique  Robert;24873038
8DOAUBAAAAAJ;André  Desrochers;1478980,40346273,10.2307/1940186,10.2307/2680055,3591122,4640556,10.2307/3677245,4222249
C0A25rIAAAAJ;Nicholas  Jordan;2445585,10.2307/177475,10.2307/1941794,10.2307/2405023,4222169
1ItJXoEAAAAJ;David A. Mortensen;2445585,3505746
O_sMQIYAAAAJ;Jessica  Forrest;20622013,40210620
sSWrCsYAAAAJ;Grace  Carswell;4314792
Vv4U4iwAAAAJ;Alex Douglas;4602072
_wlHRTUAAAAJ;Michael E. Alfaro;30033825,3884502,41465308,23328295,41240785,1448509,41317097,4485794,3554828,40931229
3UyNayMAAAAJ;Mark T. Holder;30033825
6rcevogAAAAJ;Stanley H. Faeth;3884528,2641738,23206686,25661184,10.2307/1940549,10.2307/2266061,10.2307/1938588,10.2307/2679906,10.2307/1940031,10.2307/1938591,10.2307/1937340,3884691,10.2307/3038083,40802176,25153429,3547609,4221477,4217915,10.2307/3565680,40605733,40926451,40926494,4220471,10.2307/3761215,10.2307/3760988,10.2307/3565828,4217793,10.2307/3544471
Mv0TuvkAAAAJ;Christof  Behrens;43576730
wrf9Nr0AAAAJ;Dimitri  Heintz;43576730,24037783,40538115,23389431,25704931,43191778,25758685,41694003,20779842
bqDEuX0AAAAJ;Hans-Peter  Braun;43576730,24037783,43190938,4281509,43191325,4281680,23384949,23389431,23382967,43564730,4279719,4280240,20205706,23385784,4281336,4276455,41435675
5iF2XNEAAAAJ;Werner H. Terjung;10.2307/1550113
zL1l-FUAAAAJ;Clara B. Jones;10.2307/2388637,3591281
ttqWzbwAAAAJ;Zhe-Xi  Luo;41316994
v2oBWgsAAAAJ;Adalberto J. Santos;30045397,3547991
qvjDk1gAAAAJ;Mirosław  Ratkiewicz;23736973,23736957,23736875,23727713,23735959,41242818
xivQFjUAAAAJ;Marjo  Saastamoinen;23736745,40213006
OpCdJIEAAAAJ;Bob  O''Hara;23736745
KGiRG8YAAAAJ;Paola  Olaya-Arenas;41415230
a2Gu7qUAAAAJ;Shahbaz  Khan;25515829
mf86n2IAAAAJ;Aftab  Ahmad;25515829
jiPpD7cAAAAJ;Valentí  Rull;30045480,20183414,40419706,20488375,4640604,25652748,4298961,4125122,40802511,3687776,10.2307/3515588,10.2307/1486120,10.2307/3515451,3687703
xuhzq40AAAAJ;John D. Reeve;4534997,10.2307/1940642,3588864,10.2307/1940295,10.2307/1938458,10.2307/1938105,20143266,40605415,10.2307/3677213,10.2307/5268,10.2307/4434,25177109,10.2307/3676446,3547116,10.2307/3565411,10.2307/3565341,4221743
_yCWPhQAAAAJ;Torleif Malm;4315689
XPxGuEgAAAAJ;Nicola S. Flanagan;27733372
GNPtj50AAAAJ;Gunnar  Bratbak;20456480,24829937,24855506,24832806,24825594,24857085,24821984,24866918
7Gg9IjcAAAAJ;Arnaud  Lanoue;43578564,40205556,23598896
6SXp2LwAAAAJ;Georg  Zizka;10.2307/3298657,24032855,2641783,23012420,4091962,41310581,41761303,10.2307/3391773
5OCCwWgAAAAJ;Gauri R. Pradhan;25063709,4536552
iJSsTjAAAAAJ;Paal  Krokene;10.2307/3762151,20445929,4278973,41499981,20062511,23259761,10.2307/3761761
uUcuOZ8AAAAJ;Alain  Bourg;2442198
bHVtPnIAAAAJ;Daniel E. Dykhuizen;2097030,3449989,2680303,10.2307/2410180,10.2307/2408512
KHX4_noAAAAJ;Luitgard  Schwendenmann;40343744,23359766,25592780,25053834,24060799,24125448
A10FUcwAAAAJ;David G. Lloyd;2442346,4353917,10.2307/2388405,10.2307/2408321,10.2307/2408071,10.2307/2410227,41764688,10.2307/2407790,10.2307/2409844,41764680,23642595,23642362,23674786
LtUBsnwAAAAJ;Sally J. Holbrook;3883886,23034829,3450313,27651223,23596987,10.2307/1942111,23143887,10.2307/1938124,10.2307/1937575,10.2307/1940748,10.2307/176978,10.2307/2641215,10.2307/1943167,10.2307/1445252,43494799,10.2307/1380436,10.2307/1380093,10.2307/1379871,24857131,4222521,24872705,4216039,4217899,40864704,4222214,4219444,41499877,4217344,4223620
3eMC5JwAAAAJ;Michael J. Kingsford;3883886,10.2307/1447480,24866460,24871840,24857187,24826543,24866112,24872101
sFIZSUYAAAAJ;Russell J. Schmitt;3883886,23034829,3450313,27651223,10.2307/1942111,23143887,10.2307/1942109,10.2307/1939880,10.2307/1938124,10.2307/1937575,10.2307/1940748,10.2307/176978,10.2307/2641215,10.2307/1943167,10.2307/1938882,10.2307/1940557,10.2307/1445252,10.2307/1444679,43494799,4125065,24816054,4222521,24872705,24874633,4217899,40864704,4222214,4219444,41499877,4217344,4223620,4217051
aDogLioAAAAJ;Anders  Fernö;4533884,4534647
iJW5EF0AAAAJ;Bao-Rong  Lu;4122751,24036887,40065403,23674857,23674777,23642932,23674617,23674758,23674542,23674637
1wiuSgIAAAAJ;Juan  Freire;1549610,24857066,24853341
VrIQ8T8AAAAJ;Per  Sandström;4315440,1552366
8-XJ78QAAAAJ; Hans Tømmervik ;4315440
bnCa-38AAAAJ;Itayguara Ribeiro da Costa;43578010,23662394,20443320
lJtF0awAAAAJ;Stuart J. Davies;27857327,41151211,23143937,2680373,40205531,41761582,41761764,3879612,41761754,43582177,4092143,4499086,41333061,41761659,2560200,40005564,10.2307/4111031,24034408
sk_eZMUAAAAJ;Matthew  Low;25063611,3677800,40236525,41332029,24060823,24058179,24060653
CVEIwcQAAAAJ;Isabel  Castro;25063611,827469,24055297,24060731,24060823,20146534,24060654
YU4T8hYAAAAJ;Isabel  Castro;25063611,827469,24055297,24060731,24060823,24060654
OLpIc1YAAAAJ;Åsa  Berggren;25063611,25473439,41059084,10.2307/3546766,24058180,24056341,40235426,24060861
1ouoUD0AAAAJ;Angela M. White;4602087,4498703
G-G26eoAAAAJ;Del  Meidinger;bullecosociamer.95.4.444,43188376
6_aVNTwAAAAJ;Jean-Pierre  Saucier;bullecosociamer.95.4.444,43188376
4MTcHLkAAAAJ;Alan  Weakley;bullecosociamer.95.4.444,43188376
8R-kv2wAAAAJ;Hilal  Ay;23728001
XVIWZggAAAAJ;Suzanne  Edmands;3884266,10.2307/2640438,40306291,3448778,23464143,3095246,3892766
91a04yQAAAAJ;Bruce  Maxwell;bullecosociamer.86.4.276,25511581,3450747
bBMKiPwAAAAJ;Bruce  Maxwell;1469886
6KVhhnIAAAAJ;Michael H. Ziccardi;30135264,30134889,41262648,20460350
JWZDTikAAAAJ;Simon C. Griffith;23736808,4601823,23270647,25063436,40295334,23435980,25150893,25483629,30245202,30243886,10.2307/3677202,30244837,3505271,41058786
U8P4CZUAAAAJ;J. Cully Nordby;4600806,4601684,4124711
zO4hfH0AAAAJ;Marta  Borowiec;25063535,30243848
DNfptt8AAAAJ;Stefan  Leitner;25063535,4536336,24032860
GORjkksAAAAJ;Erwin  Nemeth;25063535
0LUDLT8AAAAJ;Craig R. Brodersen;4126127,27733274,4095824,42952364,25758659
zI_s26gAAAAJ;Kerry T. Givens;10.2307/2996205
bIkhp6IAAAAJ;Martin  Köchy;10.2307/2266053,3072154,3547559,20146648
4a2XbLwAAAAJ;David  Lindenmayer;bullecosociamer.94.4.338,40864014,23325690
JT-YIbkAAAAJ;Wei-Li  Hong;24715190
CKK9vT4AAAAJ;Marta E. Torres;24715190
SnFB6q4AAAAJ;Ji-Hoon  Kim;24715190
7eNBfiEAAAAJ;Tamar  Dayan;2097257,40295550,bullecosociamer.86.3.121,30033773,3450769,3591310,3450997,4543483,3591016,10.2307/2680223,10.2307/177098,10.2307/1939430,23259795,23017054,10.2307/1383011,4094562,23016121,40205738,3838548,3554562,1383371,10.2307/3545896,10.2307/3565430,30161332,3595498,4222447,2400744,PBZ10017
RpTRshwAAAAJ;Tamotsu  Hoshino;40605851
JL54Nm0AAAAJ;Michael C. Wimberly;1478941,40346253,2641916,10.2307/2680001,3599615
fbAS_FcAAAAJ;Xuhua  Xia;4600532,10.2307/1381635,10.2307/1382179
KfEtp4gAAAAJ;Vladimir V. Pravosudov;4601959,4601418,10.2307/3677271,4514089,10.2307/3676790
2RWehM8AAAAJ;William  Balee;10.2307/2388717
I8litwIAAAAJ;Hector M. Guzman;25547914,2386192,30133701
sqFDU-kAAAAJ;Barbara  Sudnik-Wójcikowska;23727237
46bO1t8AAAAJ;Ryan A. Rapp;27793066
irBZWjYAAAAJ;Nelda  Dezzeo;40343540,10.2307/1941024,20146471
JXyT518AAAAJ;Christopher K. Starr;10.2307/2388193,10.2307/2387895
aQuKSs4AAAAJ;Andrew C. Baker;30033790,24875460
1cq45M0AAAAJ;Glen W. Armstrong;24708810
435J_QgAAAAJ;Frederik  Doyon;24708810
p2Iea64AAAAJ;Philip J. Burton;2445236,10.2307/1938050,43442547,3591067
Mn_XZSMWWk4C;Clelia  Gasparini;25511633,41414569
In1s0UkAAAAJ;Josef F. Stuefer;43519482,4181262,20528878,10.2307/2261260,3858499,40213039,4222126,23434776,4220817,41686252,4221633,40305790,20445845,10.2307/3546799
Q1LP6lYAAAAJ;Mauricio  Velayos;23726758
X6YjWDIAAAAJ;Akiko A. Yasumoto;20622036
18xRiBkAAAAJ;Richard A. MacKenzie;20492503,10.1899/12-152.1,10.2307/3858663
Yykrr90AAAAJ;Alexandre  Foito;43578132
xQXd2pEAAAAJ;Derek  Stewart;43578132,24039058,23383020,23385547,23385045
Xt7jtrIAAAAJ;Olav  Rueppell;23270640,40295192
jH1l1boAAAAJ;Allison K. Shaw;bullecosociamer.96.1.140
fQzm5twAAAAJ;Evan H. Campbell Grant;bullecosociamer.91.1.65,23023121,41722881,41723107,23597266,23436264,10-129R,09-120R
9ns1KE8AAAAJ;Sonja E. Koski;4536463,41414682
JGx4NT0AAAAJ;James  Grogan;40212959,40540178
FSU4IbMAAAAJ;Colin R. Jackson;10.2307/2679879,4499056,40343503,40605759,3547997,25153283,41489034
rpdQHX4AAAAJ;Miska  Luoto;4315420,24551600,4139122,40061929,23436269,20532069,3683804,41416787,20143406,827528,4139406,40305911,41058825,30137822,3566290,30137870,20050964,40234953,24553726
Kv6xo4IAAAAJ;Jyrki Aakkula;4315420
U3hPnJoAAAAJ;Eberhard  Fischer;40665274,23216094,43289114,10.2307/4110541,10.2307/4115828
JFHHjacAAAAJ;Locke  Rowe;4601203,3448878,41460085,10.2307/177071,3449003,10.2307/2937184,41503461,10.2307/2410646,3061633,41460044,3449125,10.2307/2680052,3061658,20062146,4223107
frWjb78AAAAJ;Mary  Morgan-Richards;3094621,3657121,3503721,3566411,24060743
bbye7WMAAAAJ;Hazel M. Chapman;4201444,25133792,43558243,24056429,20649606
mFHFSaUAAAAJ;Nigel  Taylor;42792328,42792337,42795005,42795437
jzEPNXUAAAAJ;Bryan A. Endress;3589092,24552025
toXpaE8AAAAJ;K.  Balakrishna;20055213
1LG-V8EAAAAJ;Nancy C. Emery;27650997,23229910,20069293,29782988,10.2307/3868114
w8sjBOcAAAAJ;Elisabeth J. Forrestel;23229910
gHHCylwAAAAJ;Jay  Quade;2401030
uuxdSHMAAAAJ;Julio L. Betancourt;10.2307/2641390,25661155,4134787,23325684,20069052,10.2307/1380879,3182662
fLJv_gsAAAAJ;Nathan B. English;40005688,41499995,40213076,20062371
mdP2FF0AAAAJ;Katharina  Riebel;4536024,4536290,4535469,3677431
A2ZYqMAAAAAJ;Patrick  Crill;40800617,23253249
o-_2zxUAAAAJ;Iver  Jakobsen;4314681,25133977,23697542,23697093,4281312,40065529,42950748,42949850,42951745
7UqZe5sAAAAJ;Oscar  Valverde-Barrantes;bullecosociamer.91.2.224,25680358,41489061,40310204
6bP7FWUAAAAJ;Janette  Wallis;4315702,4535225
zCwi0cUAAAAJ;Lawrence J. Weider;23735716,10.2307/1938199,10.2307/2640718,10.2307/1940817,10.2307/5856,10.2307/3545351,4217560,4220498,20062281,40309703
5crpC3sAAAAJ;Mariana  Mateos;3061637,3061636,41240814,3566267
uq7bO18AAAAJ;Ioannis  Vlemmas;10.2307/1592552
dl1xj9kAAAAJ;James A. Coyer;43578350,10.2307/1444178,10.2307/1444613,10.2307/1445252,4217051
jLygV5QAAAAJ;Jeanine L. Olsen;43578350,24853282
zyKqhFEAAAAJ;Klaus  Reinhardt;4601999,4536029,25483560,20440932,3683750,3094600,3503743,24870938
RT4NnKEAAAAJ;Bernard  Sainte-Marie;25063335,40296055,4540289,1548997,4094159,20487833,24872789,24829760
yE5UKmcAAAAJ;Ricardo Alia;4122782
MDyrvSYAAAAJ;Luis  Gil;4122782,43576386,3566228,40996122,41058849,20146566,41686801,41686022,43191086,20146576,23362429
-XztON4AAAAJ;Patrik  Inderbitzin;2657126,10.2307/3761716,27920440,20619184,10.2307/3761253
BCXpPNcAAAAJ;Mohamed A. Abdel-Wahab;2657126
q3gduVsAAAAJ;Antonio  Heredia;4123894,23695676,24036815,24036719,43191555,41435105,43191086,24130329,24129830,23385547
NeiqmGQAAAAJ;Cornelia Voigt;4536336
m_5BwqgAAAAJ;Manfred  Gahr;4536336
Q2z4wkYAAAAJ;Oliver M. Beckers;40792934,41353883
g0SkSa8AAAAJ;Bruce S. Cushing;4535565,10.2307/3872548,10.2307/2937393,10.2307/1380967
NKFaOXMAAAAJ;Suraje Dessai;4315847
415gS9cAAAAJ;Michael W. Butler;41414032,40295234,40645574,10.1086/670918
48aHD6IAAAAJ;Matthew B. Toomey;41414032,40645574,40205535
-MFXvxUAAAAJ;Kotaro  Mori;25063437
PjIMyssAAAAJ;Simon  Rusjan;25652626
TOYCziwAAAAJ;Matjaž  Mikoš;25652626
EXpjfQ8AAAAJ;J. Timothy Wootton;10.2307/2388408,30033811,2097320,25661021,10.2307/2679881,10.2307/176946,10.2307/2963504,10.2307/1939615,23597268,24432202,10.2307/1940174,10.2307/2409842,23597358,41151208,10.2307/1941864,10.2307/2408884,10.2307/1939391
gxJPM4kAAAAJ;Allan G. Ellis;27793142,23463893,IJPS40889,43558151,41499856
gNdjFFcAAAAJ;Roberto  Schaeffer;4314186
iAQr9XwAAAAJ;Jonathan  Runstadler;23273993
cwIgPHYAAAAJ;Inger  Auestad;23727994,24553727
6QNWwycAAAAJ;Karel  Weidinger;23736902,4601915,27639357,3677556,30243862,2693520,4223808
L6qgoc0AAAAJ;Jiří  Bárta;25652620,40980879,23501504
JeQtSpwAAAAJ;Vandick  da Silva Batista;41510584
fd4huhEAAAAJ;Yves  Van der Stede;23322225
jJzBHDQAAAAJ;Victor L. Finot;3298569
75wnkgsAAAAJ;Miha  Krofel;23254825
uKeqi8kAAAAJ;Ivan  Kos;23254825
M3UEM1MAAAAJ;Klemen  Jerina;23254825,30224418,23259857
Y0TNNXsAAAAJ;Fatma  Demnati;23257422
vu6zynYAAAAJ;Farid  Allache;23257422
f7SVNIYAAAAJ;Rubén  Torices;27733430,40960911
plzw-oUAAAAJ;Luis Orlando Morales;4122177
o-71TNUAAAAJ;Markku  Keinänen;4122177,4629752,10.2307/3546833,41435636,4281087,4223429,4281088
QufGoicAAAAJ;Steven  Sadro;23252815,41505938,41507785
3ybS9jYAAAAJ;Boqiang Qin;4314980
UM98Wb4AAAAJ;Stuart  Lindsay;10.2307/1547792,41761775,41761788
GVMk0kAAAAAJ;Sofia  Gripenberg;23735881,20142760,4539193,20144136
qztilZgAAAAJ;Tomas  Roslin;23735881,bullecosociamer.91.3.335,27860790,3450739,23597226,20142760,27860843,23017141,4539193,4222900,40235554,40235391,3548704,3547553,40235567
WjOZY7QAAAAJ;Andrew  Heyes;23359761
RmIoUwUAAAAJ;Dirk C. Albach;10.2307/2666224,3298609,10.2307/3298656,20406284
iUatAbwAAAAJ;Peter  Kershaw;2678646
yQ9B1NsAAAAJ;Pedro Luis Valverde;30033871,3449343,3449344,3236986,40212859,4220131
jOKjDG0AAAAJ;Diane L. Byers;2446229,2446533,10.2307/2411197,10.2307/2269517
h7Na1OoAAAAJ;Susan L. Williams;30033863,41151236,27860783,23597317,43494733,10.2307/3868238,25595143,23435951,10.2307/1940726,10.2307/1943015,10.2307/1940815,3451026,10.2307/3060933,40602952,10.2307/3546420,40309940,4221869
zB3ciq4AAAAJ;Antonio  Guillén-Servent;27823543,30224441
jGw099IAAAAJ;Olivier  Rieppel;221677,4098593,4098697,4498815,3891782,4094800,4524280,4541253,4092865,4523926,4498824,30126337,4094820,10.2307/1564613,10.2307/1563533,10.2307/1564265,10.2307/1565027,20491013,4523948,4524551,4523542,4523925,29739111,10.2307/1565028,20491037,10.2307/1563895,4524198,3892687,4524638,2666052
S-32ORcAAAAJ;Robert R. Reisz;221677,1305953,4524219,4522838,4523476,20491034,4523731,20490994,30126364,4524476,20491067,30126377,30126342,4522965,4524117,4524516,30126324,4524190,20491035,4523145,4523695,1304403,1306285,4523931,4524283,4524646,4524691,20491002,4524657,30126306,23014895
kbCCfYoAAAAJ;Ken  Aho;40801685,41058166,43495189,41702395
oe5H3rUAAAAJ;Katsufumi  Sato;4535903,24871757,24868608,24871985,24867898,24866597,24873119,24867845,20445970,10.1086/664698
3BUlQWoAAAAJ;Lynn  Siefferman;25063749,27823570,25511620,3449084,3677799,3677779,10.1086/670383
5HACPcMAAAAJ;Sheikh M. Sultan;42883232,42883215
mgp-o0YAAAAJ;Thomas  Martin;4524227,4524728,20627055,4524704,4524455,4524015,2401146
UoSXO_cAAAAJ;Thomas  Martin;4277817,4280315
2tC9kCUAAAAJ;Julissa  Rojas-Sandoval;20622005
N9OQpx0AAAAJ;Pascale  Garcia;40295276,25547861
qSRi8YIAAAAJ;Hua  Qin;40928156,40928143
loANEHEAAAAJ;Laodong  Guo;20519777,41410557,40385226,24862762,24866580
e33l89cAAAAJ;Deli  Wang;43494986,40835705,24125602,24369085,24125009,20146865,40859828
AoUs8HQAAAAJ;Deli  Wang;20519777
RC72ATIAAAAJ;Chin-Chang  Hung;20519777
H1GbyK0AAAAJ;Brett M. Johnson;23736103,10.2307/1942011,4220587
P9y-3FAAAAAJ;Dongmei  Yang;43576446,20142841,25549258
6SJF_UwAAAAJ;Birger  Poppel;41418330
IE67BeYAAAAJ;Bob  van Oort;41418330
LJebhoMAAAAJ;Jakub  Sawicki;23727594,23727814,23663575,43496766
NZ9RB6gAAAAJ;Jefferson  Fox;4314246,4313846,2386871,40343969,40343974,10.2307/3673646,10.2307/3674254,10.2307/3674253
-tohpHQAAAAJ;Jorge  Orós;10.2307/1592210,20095667,20096006
hhp0awkAAAAJ;Takeshi  Noda;4280544
38MQT90AAAAJ;Yang  Deng;24551605
BlUudBsAAAAJ;Bengt  Oxelman;2657003,27733178,27733192,24032809,23642957,10.2307/3393038
H_SV9vYAAAAJ;Benjamin  Zuckerberg;27896218,23470506,41059071,40859847
tiqunB0AAAAJ;Benjamin  Zuckerberg;27896218,23470506,41059071,40859847
4pSBwg8AAAAJ;David N. Bonter;27896218,29738743,41059071,27639315,23011119
qCLDWNkAAAAJ;Javier  Retana;4354365,23022987,23325682,27651602,30243208,23501489,10.2307/3071781,3450398,40929260,10.2307/5982,827369,3236484,10.2307/3545608,4221561,10.2307/3546274,10.2307/3546920,4222637,20050843,4221888,3547459,41686257,4222178,20146793
9_PlfS8AAAAJ;Richard A. Houghton;4314472,4313693,41416626,10.2307/3060997
UV2dETwAAAAJ;Maciej  Wódkiewicz;24551632
c-X77GYAAAAJ;Neil  Reid;40716308
MQWZBoUAAAAJ;Arianna  Comin;23322238
Xq2koCoAAAAJ;Marko  Keskinen;25547875,41510587
NjKnp5cAAAAJ;Matti  Kummu;25547875,25547881,25547877,41510587
a5xiIfQAAAAJ;François  Gillet;1478880,25133789,25134149,3236411,23209437,23209346,41508721,40864705
a6idxNIAAAAJ;Alexandre  Buttler;1478880,43578571,10.2307/3868163,25133789,30243145,25134149,20144159,4096658,10.2307/2997737,4096747,41686365,24370151,23209346,42952608,40859856,41508721,41412375,40212891,40235319
P1dxkbYAAAAJ;John P. Janovec;40645588,3218495,41972299,41972014,10.2307/3392189,10.2307/3393080,10.2307/3392090
0VJHi5MAAAAJ;Jesús  Muñoz;23728079,43443228,40925548,3236763,24873667
eb6kAX0AAAAJ;Justin A. Welbergen;40295300,25063817,3677458,41499756
DVJIklMAAAAJ;Kang  Xia;1469969
kpXyzCYAAAAJ;Alakendra  Roychoudhury;1469659
Axg5EiIAAAAJ;Juan Albaladejo;4314205
FfyNCvUAAAAJ;Melanie  Hagen;43578676
qkqMRk4AAAAJ;Magdalena  Żywiec;23728060,23259728,23267482,23434788,40305441
sCe2GYoAAAAJ;Beatrice  Crona;25547817,20696436
dy0y7PIAAAAJ;Heather  Leslie;25547817,3100009,3100008,3100007,3100006,3547804
SCvbMCUAAAAJ;Jon  Norberg;25547817,10.2307/3868116,40234963,4222540
coZ4CV4AAAAJ;Maria  Tengö;25547817,25547837,40061668
KnIMznoAAAAJ;Boris  Worm;25547817,41739279,24873946,24871957,4223005,24855869,24866159,24853221,24863620,24855868,24862781,24857333,24874483,3547448,4222276
P2bcmdIAAAAJ;Jonathan D. Blount;41414023,25063540
5kSVDe4AAAAJ;Charles J. Vörösmarty;4315590,20456397,4314590,1469864,25053884,3236927
mfXM3TAAAAAJ;Javier  Seoane;23735738,3591263,4539918,20143423,30137995,3554658
HTS5Y38AAAAJ;Robert B. Cook;20168543,1468895
MhFc-CsAAAAJ;Frederik  Leliaert;20794601,40205690
MUg_dO4AAAAJ;Ivan  Castro-Arellano;41241924,27751638,30224458
WAoh0jcAAAAJ;Parminder  Singh;42883526
o86Hw7gAAAAJ;Ramesh  Kumar;42882779
PoHodl4AAAAJ;Claudia Maria Jacobi;25547906,25172927,24825008
Gku1yjEAAAAJ;Marjorie R. Lundgren;3858421
eSLJXY8AAAAJ;Sonia E. Sultan;25592693
-1KtuMYAAAAJ;Oliver L. Phillips;20492480,10.2307/2666143,24432182,4124697,3450887,4256024,4091837,41239256,4640652,3599701,41310237,25549249,30134101,30134095,3599736,20143465,25549223,30137868,40305919,40309769
NvtGDMMAAAAJ;Pierre-André  Loizeau;20492480
iCJoV-EAAAAJ;Jay D. Evans;4601263,27743456,25010138
sFVSB7cAAAAJ;Stijn  Temmerman;20456434
A9AiH_QAAAAJ;Alongkorn  Amonsin;41418371
W53fzikAAAAJ;Simon J. Allen;25511562,40295543
Ju0t0-wAAAAJ;Ralf  Bublitz;40296055
a4hGw_YAAAAJ;Paul  Kenrick;4131372,2995218,2475367,3691770,43191486,23643378
1SCjh74AAAAJ;Deliang Chen;4314514
CQQr7EUAAAAJ;A.  Thangavelu;10.2307/1592491
lS683fcAAAAJ;Ali  El-Keblawy;4354288
Vkr-PPUAAAAJ;Michael  Renton;43578643,40604225,24038806,41474643,41412445,24370222,23469146
eVYezVAAAAAJ;Terence P. Dawson;20181721,3683850,3697637,3697579
X419fPAAAAAJ;Wolf L. Eiserhardt;43578668,41408834
we7WLk8AAAAJ;Svenning  Jens-Christian;43578668
GMdt6sEAAAAJ;W. Daniel Kissling;43578668,30244511,23435953,20696290,23597204,40296412,30137864,3879549,40305936,40205731,30137991
OVrC-xYAAAAJ;Katrin  Kahlen;43578632,43578630,24370300
ipKXEnUAAAAJ;Hartmut  Stützel;43578632,43578630,24370300
J_mpNHsAAAAJ;Luis A. Ebensperger;41414711,41414734,4536231,41414567,4601756,40662630,10.2307/1381849,4094349,23259782,10.2307/1382947,4094250,3547189
-qMT0ZAAAAAJ;Ole  Seehausen;25063756,25063596,4601412,27784035,43493900,25483640,40306312,24033841,25140823,41317083,40793189,3095368,41310240,3554693
ykre86YAAAAJ;John Nyby;3882325
hpVEij4AAAAJ;Michał  Żmihorski;23736918,23727893
wSHxsvoAAAAJ;J. Dele Olowokudejo;2807426,4180706,25130307
XJKNA0sAAAAJ;Claude  Belzile;41410557,24853357,24854573
EJPAdHwAAAAJ;Andrew M. Barton;2445115,10.2307/2997180,10.2307/2937151,10.2307/1938592,2559413
-TQ0EuoAAAAJ;Arvin  Mosier;20055277,10.2307/1940085
BMU5hzUAAAAJ;Zeke  Davidson;40295531,23259963
5VMKLDwAAAAJ;William J. Riley;1469394
FP5ciL4AAAAJ;Stephen S. Tobe;3882620,4280114
m7Z1yI0AAAAJ;Richard J. Hobbs;20167343,2386985,3868824,23596972,43494353,2386335,10.2307/1938902,4124782,2386786,3061359,3061251,20441020,2386033,43494477,2387497,43493772,3246753,40605837,3697413,3697651,24124340,41508831,24130586,42952351,42951593,24130971,40305760,42951599,23267391,10.2307/3544241
tBoPSKkAAAAJ;Joel T. Heinen;10.2307/2388614,40792831,2386768,2387128,10.2307/1446773,44161436,10.2307/1564206,10.2307/1564685,24707143,3893020,10.2307/3673738
h3msE3cAAAAJ;Joris M. Koene;25063819,25063695,40206188,3884808,3884803
MrMnJOQAAAAJ;Sujay S. Kaushal;20055244,20440910,40061800,40062186,20441018,3658644,25470385,41739381,40792589
N7hr6UMAAAAJ;Sandrine  Pavoine;40927818,20787443,43495285,40792517,41058846,40235693
f2r93lEAAAAJ;David  Boertmann;1593293,3683114
d4ZRDvkAAAAJ;Richard H. Hosier;4313223
C1JPLl8AAAAJ;Ross E. Lill;2995299
sp35_GwAAAAJ;Abelardo  Aparicio;23726732,40958954,2474897,40305729
mvx79E8AAAAJ;Liliana  D''Alba;40645573,25063540
SQCsQRYAAAAJ;Matthew D. Shawkey;40645573
f33H0t8AAAAJ;Annette  Becker;41300463,41435101
AUh2tRoAAAAJ;Sebastian K. Herzog;2673359,3697613,40305624
