AoS085AAAAAJ;Kaspar  Hurni;23353199,23353201
hUVqktIAAAAJ;Cornelia  Hett;23353199,23353202,23353201
14Fb8IwAAAAJ;Andreas  Heinimann;23353199,40343971,40343972,23353202,40343973,23353201,90013244,3674408
3lw9ePUAAAAJ;Peter  Messerli;23353199,40343971,40343973,23353201,3674206
CWxzgB8AAAAJ;Calvin O. Qualset;23695978
At3yMZ4AAAAJ;Guoqing  Zhou;27698335
-Ov_-CUAAAAJ;Don  Walker;1566138
7Z1Af9AAAAAJ;Matthieu  Jeanson;43752585,43752620,43290948
6mpOYKsAAAAJ;Samuel  Etienne;43752585,43752620,43290964,43290948
-oVfBFQAAAAJ;Deborah  Bouchard;41262591
jKFK_A8AAAAJ;Jorge  Salazar-Bravo;27755191,25145145,25145154,4094302,40925636,3504362,3504548
DXVWxmIAAAAJ;Dinesh Chandra Shaha;23353642
erDsvD8AAAAJ;Yang-Ki  Cho;23353642
LOPFJdIAAAAJ;Tae-Wan  Kim;23353642
szMAjx0AAAAJ;Mallorie  Taylor-Teeples;43191443
p3fImD0AAAAJ;Gail  Taylor;24036644,24038675,4217989
NcEPVbsAAAAJ;David  Lazarus;1304835,1305085,2400489,2401138,2400576
BIaEDPkAAAAJ;Yen-Chih  Huang;40205906
s6RcMGIAAAAJ;David L. Brown;40205906
GBLkAE4AAAAJ;Hui  Wang;41417648,24125467,42952049,24128980,24128985,24128411,24125390
fTnvlCUAAAAJ;Deborah G. Martin;23280340
cVBCBfwAAAAJ;James W. Hagadorn;1306951,3884847,1306912,27670527,10.2307/3515356
aaWDF44AAAAJ;Lisa G. Crozier;40605400,40005758
TF4d3jMAAAAJ;Torsten Wappler;4094762,4095133
wzWYgm8AAAAJ;Emi Rainildes Lorenzetti;41972521
2hFhm7gAAAAJ;Vitor  de Q. Piacentini;23355831
48W-VTsAAAAJ;Tomislav  Radić;24873048
s7asg3gAAAAJ;Robert S. Feranec;4524522,27670539,4096831,41315960,40213041
