BcsSi-YAAAAJ;Michelle L. Hall;41414579,4601728,25063377,4536354,30245215
jpoOPNEAAAAJ;Anne  Peters;41414579,25511649,4601769,4602089,4602001,10.2307/3227040,3892711,10.2307/1564691,41499807
yeRhXUYAAAAJ;Roger C. Anderson;2443249,2443836,2473723,2444079,2442348,2446284,2473949,10.2307/2996286,2474541,2445152,10.2307/2996523,10.2307/2995943,10.2307/1935674,4033570,43443053,4032805,4033163,4033625,3505805,10.2307/2402859,10.2307/3792934,3858630,10.2307/3760281
FWgM1soAAAAJ;Beat  Frey;4151499,41410563,24030818,42950597,23384246,41412443,24123956,4280578,40859856
lS6nTGUAAAAJ;Timothy A. Dickinson;20700433,2445410,4353932,4254773,4201308,40963502,2475038
4VEnLR4AAAAJ;Katherine A. Jones;40295480,30244736
JmyomtcAAAAJ;Jerzy  Romanowski;23736967,23736966
GYzzzDkAAAAJ;Susanne  Schmidt;41416452
TDbkQFUAAAAJ;Marcus  Nüsser;41416452,10.2307/3776769,10.2307/3674006,3674056
tefTHqUAAAAJ;Leon R. Perrie;1547166,4497360,4126140,3554533
QxDBIqwAAAAJ;Vladimír  Remeš;25063620,41414584,3094694,4095385,40005577
jzgOmyYAAAAJ;Pia  Mutikainen;4123897,43578572,4124177,3591247,10.2307/177133,3094707,10.2307/176782,3879586,4619767,2995631,10.2307/3545852,4221476,40006413,4223429,3548500,10.2307/3545874,4221086,40212950
CWrER1AAAAAJ;Aparajita  Datta;10.2307/2389203,30044929,27751622,23260131
xCJvbukAAAAJ;Olivier  Honnay;43576155,43578145,bullecosociamer.84.3.128,10.2307/2679811,41480667,30243248,4620878,3566310,3838552,3236576,40802581,20528838,25549236,3236650,3566361,3236974,20793438,40305556,40540344,41508645,23209333,10.2307/3546872,40309856,3548459,23209434,40235447,20445842,3548554,23664065
TUVZbtcAAAAJ;Hannah V. Carey;3884393,40931215,10.2307/3544700
0tz6JqwAAAAJ;John  Bainbridge;24595767,20460503,40665072
Q2t9YXkAAAAJ;A.  Piga;42881416
PZgmMmwAAAAJ;Philipp  Olias;40801839,23526473
XqLF1hMAAAAJ;Martti  Rask;40980893,40980890,4315344,23734135,23736097,23734093,23734449,23735678,23734094,23734484,10.2307/176528
V-6QJD8AAAAJ;Matti  Verta;40980893
tix6vuoAAAAJ;Simo  Salo;40980893
SNjVXuUAAAAJ;Martin  Forsius;40980893,41410573,40343577,40730867
5K-r0ngAAAAJ;Lauri  Arvola;40980893,40980890,23734135,23726058
_FcA4gcAAAAJ;Roger I. Jones;40980893,43922121,4315822,43922133,43677511,3682653,10.2307/2259500,10.2307/2259501,4222614
Q8WuU78AAAAJ;Mikko  Kiljunen;40980893
-I4MLjoAAAAJ;Vidal  de Freitas Mansano;40792894,23489191,23489339,40856286,23660105
2uYkSdAAAAAJ;J. Gordon Burleigh;4123854,40982872,23463841
qRYzu3sAAAAJ;Sarah  Mathews;4123854,2657021,41922377,4125592,2446334,10.2307/2399882,27793085,2656688,2444983,3094684,10.1086/665975,4122582,3079961,3691671,4122583
eJMdEPMAAAAJ;Kay  Emeis;41410607,24873947
1wAC5VAAAAAJ;Udi  Segev;41501759
PRwZZkoAAAAJ;Yaron  Ziv;41501759,10.2307/177353,3683315,1383630,10.2307/3545916,10.2307/3544810,24868008,4221788
ZJZPumIAAAAJ;Kathleen M. Rühland;20181825
